,full_name,title,guessed_gender,orcid_id,scholar_id,scopus_id,full_initials,single_initials,partial_initials,only_first,h-index_scopus,h-index_scholar
1615,Mark Nuttall,,male,,,,M. Nuttall,M. Nuttall,Mark Nuttall,Mark Nuttall,,
1616,Bjarne Grønnow,,male,,,,B. Grønnow,B. Grønnow,Bjarne Grønnow,Bjarne Grønnow,,
1617,Anders Mosbech,,male,,,,A. Mosbech,A. Mosbech,Anders Mosbech,Anders Mosbech,,
1618,Thomas A. Davidson,,male,,,,T. A. Davidson,T. Davidson,Thomas A. Davidson,Thomas Davidson,,
1619,Kenneth Mankoff,,male,,,,K. Mankoff,K. Mankoff,Kenneth Mankoff,Kenneth Mankoff,,
1620,Angelika Humbert,,female,,,,A. Humbert,A. Humbert,Angelika Humbert,Angelika Humbert,,
1621,Anders Bjørk,,male,,,,A. Bjørk,A. Bjørk,Anders Bjørk,Anders Bjørk,,
1622,Surendra Adhikari,,male,,,,S. Adhikari,S. Adhikari,Surendra Adhikari,Surendra Adhikari,,
1623,Jørgen Peder Steffensen,,male,,,,J. P. Steffensen,J. Steffensen,Jørgen P. Steffensen,Jørgen Steffensen,,
1624,Louise Sandberg Sørensen,,female,,,,L. S. Sørensen,L. Sørensen,Louise S. Sørensen,Louise Sørensen,,
1625,Ryan Haagenson,,male,,,,R. Haagenson,R. Haagenson,Ryan Haagenson,Ryan Haagenson,,
1626,Harihar Rajaram,,male,,,,H. Rajaram,H. Rajaram,Harihar Rajaram,Harihar Rajaram,,
1627,Yasmina M. Martos,,female,,,,Y. M. Martos,Y. Martos,Yasmina M. Martos,Yasmina Martos,,
1628,Mark A. Fahnestock,,male,,,,M. A. Fahnestock,M. Fahnestock,Mark A. Fahnestock,Mark Fahnestock,,
1629,Jixin Qiao,,male,,,,J. Qiao,J. Qiao,Jixin Qiao,Jixin Qiao,,
1630,Gunnar Jakobs,,male,,,,G. Jakobs,G. Jakobs,Gunnar Jakobs,Gunnar Jakobs,,
1631,Sven Nielsen,,male,,,,S. Nielsen,S. Nielsen,Sven Nielsen,Sven Nielsen,,
1632,Austin Lines,,male,,,,A. Lines,A. Lines,Austin Lines,Austin Lines,,
1633,Thue Bording,,male,,,,T. Bording,T. Bording,Thue Bording,Thue Bording,,
1634,Joshua Elliott,,male,,,,J. Elliott,J. Elliott,Joshua Elliott,Joshua Elliott,,
1635,Rune Kraghede,,male,,,,R. Kraghede,R. Kraghede,Rune Kraghede,Rune Kraghede,,
1636,Hubert Cantalloube,,male,,,,H. Cantalloube,H. Cantalloube,Hubert Cantalloube,Hubert Cantalloube,,
1637,Hélène Oriot,,female,,,,H. Oriot,H. Oriot,Hélène Oriot,Hélène Oriot,,
1638,Pascale Dubois-Fernandez,,female,,,,P. Dubois-Fernandez,P. Dubois-Fernandez,Pascale Dubois-Fernandez,Pascale Dubois-Fernandez,,
1639,Olivier Ruault Du Plessis,,male,,,,O. R. D. Plessis,O. Plessis,Olivier R. D. Plessis,Olivier Plessis,,
1640,Anders Vest Christiansen,,male,,,,A. V. Christiansen,A. Christiansen,Anders V. Christiansen,Anders Christiansen,,
1641,Esben Auken,,male,,,,E. Auken,E. Auken,Esben Auken,Esben Auken,,
1642,Jeffrey M. Welker,,male,,,,J. M. Welker,J. Welker,Jeffrey M. Welker,Jeffrey Welker,,
1643,Mike Jayred,,male,,,,M. Jayred,M. Jayred,Mike Jayred,Mike Jayred,,
1644,Conrad Koziol,,male,,,,C. Koziol,C. Koziol,Conrad Koziol,Conrad Koziol,,
1645,Neil Arnold,,male,,,,N. Arnold,N. Arnold,Neil Arnold,Neil Arnold,,
1646,Allen Pope,,male,,,,A. Pope,A. Pope,Allen Pope,Allen Pope,,
1647,Anders E. Carlson,,male,,,,A. E. Carlson,A. Carlson,Anders E. Carlson,Anders Carlson,,
1648,Zoe Kilmer,,female,,,,Z. Kilmer,Z. Kilmer,Zoe Kilmer,Zoe Kilmer,,
1649,Leah B. Ziegler,,female,,,,L. B. Ziegler,L. Ziegler,Leah B. Ziegler,Leah Ziegler,,
1650,Joseph S. Stoner,,male,,,,J. S. Stoner,J. Stoner,Joseph S. Stoner,Joseph Stoner,,
1651,Greg C. Wiles,,male,,,,G. C. Wiles,G. Wiles,Greg C. Wiles,Greg Wiles,,
1652,Kaitlin Starr,,female,,,,K. Starr,K. Starr,Kaitlin Starr,Kaitlin Starr,,
1653,Maureen H. Walczak,,female,,,,M. H. Walczak,M. Walczak,Maureen H. Walczak,Maureen Walczak,,
1654,Alberto V. Reyes,,male,,,,A. V. Reyes,A. Reyes,Alberto V. Reyes,Alberto Reyes,,
1655,David J. Leydet,,male,,,,D. J. Leydet,D. Leydet,David J. Leydet,David Leydet,,
1656,Robert G. Hatfield,,male,,,,R. G. Hatfield,R. Hatfield,Robert G. Hatfield,Robert Hatfield,,
1657,Aleah N. Sommers,,female,,,,A. N. Sommers,A. Sommers,Aleah N. Sommers,Aleah Sommers,,
1658,Eliezer P. Weber,,male,,,,E. P. Weber,E. Weber,Eliezer P. Weber,Eliezer Weber,,
1659,Williamt Colgan,,male,,,,W. Colgan,W. Colgan,Williamt Colgan,Williamt Colgan,,
1660,Mike MacFerrin,,male,,,,M. MacFerrin,M. MacFerrin,Mike MacFerrin,Mike MacFerrin,,
1661,Jeff D. Colgan,,male,,,,J. D. Colgan,J. Colgan,Jeff D. Colgan,Jeff Colgan,,
1662,Michael Macferrin,,male,,,,M. Macferrin,M. Macferrin,Michael Macferrin,Michael Macferrin,,
1663,Ginny A. Catania,,female,,,,G. A. Catania,G. Catania,Ginny A. Catania,Ginny Catania,,
1664,Sophie M.J. Nowicki,,female,,,,S. M. Nowicki,S. Nowicki,Sophie M. Nowicki,Sophie Nowicki,,
1665,Stephen F. Price,,male,,,,S. F. Price,S. Price,Stephen F. Price,Stephen Price,,
1666,Hélène Seroussi,,female,,,,H. Seroussi,H. Seroussi,Hélène Seroussi,Hélène Seroussi,,
1667,Cheryl McCutchan,,female,,,,C. McCutchan,C. McCutchan,Cheryl McCutchan,Cheryl McCutchan,,
1668,Mahsa S. Moussavi,,female,,,,M. S. Moussavi,M. Moussavi,Mahsa S. Moussavi,Mahsa Moussavi,,
1669,Shane Grigsby,,male,,,,S. Grigsby,S. Grigsby,Shane Grigsby,Shane Grigsby,,
1670,Aleah Sommers,,female,,,,A. Sommers,A. Sommers,Aleah Sommers,Aleah Sommers,,
1671,Joel Frahm,,male,,,,J. Frahm,J. Frahm,Joel Frahm,Joel Frahm,,
1672,Ian Allison,,male,,,,I. Allison,I. Allison,Ian Allison,Ian Allison,,
1673,Matt King,,male,,,,M. King,M. King,Matt King,Matt King,,
1674,Lukas U. Arenson,,male,,,,L. U. Arenson,L. Arenson,Lukas U. Arenson,Lukas Arenson,,
1675,Thomas Phillips,,male,,,,T. Phillips,T. Phillips,Thomas Phillips,Thomas Phillips,,
1676,Tong Zhang,,male,,,,T. Zhang,T. Zhang,Tong Zhang,Tong Zhang,,
1677,Cunde Xiao,,male,,,,C. Xiao,C. Xiao,Cunde Xiao,Cunde Xiao,,
1678,Xiang Qin,,male,,,,X. Qin,X. Qin,Xiang Qin,Xiang Qin,,
1679,Wentao Du,,male,,,,W. Du,W. Du,Wentao Du,Wentao Du,,
1680,Weijun Sun,,male,,,,W. Sun,W. Sun,Weijun Sun,Weijun Sun,,
1681,Yushuo Liu,,male,,,,Y. Liu,Y. Liu,Yushuo Liu,Yushuo Liu,,
1682,Minghu Ding,,male,,,,M. Ding,M. Ding,Minghu Ding,Minghu Ding,,
1683,Nicolas Bayou,,male,,,,N. Bayou,N. Bayou,Nicolas Bayou,Nicolas Bayou,,
1684,Atsuhiro Muto,,male,,,,A. Muto,A. Muto,Atsuhiro Muto,Atsuhiro Muto,,
1685,Robert S. Anderson,,male,,,,R. S. Anderson,R. Anderson,Robert S. Anderson,Robert Anderson,,
1686,Miriam Dühnforth,,female,,,,M. Dühnforth,M. Dühnforth,Miriam Dühnforth,Miriam Dühnforth,,
1687,Leif Anderson,,male,,,,L. Anderson,L. Anderson,Leif Anderson,Leif Anderson,,
1688,Yu Li Liang,,male,,,,Y. L. Liang,Y. Liang,Yu L. Liang,Yu Liang,,
1689,Qin Lv,,male,,,,Q. Lv,Q. Lv,Qin Lv,Qin Lv,,
1690,David Gallaher,,male,,,,D. Gallaher,D. Gallaher,David Gallaher,David Gallaher,,
1691,H. Jay Zwally,,male,,,,H. J. Zwally,H. Zwally,H. J. Zwally,H. Zwally,,
1692,Phillip Lauffenburger,,male,,,,P. Lauffenburger,P. Lauffenburger,Phillip Lauffenburger,Phillip Lauffenburger,,
1693,W. Scott McLamb,,male,,,,W. S. McLamb,W. McLamb,W. S. McLamb,W. McLamb,,
1694,Roman Motyka,,male,,,,R. Motyka,R. Motyka,Roman Motyka,Roman Motyka,,
1695,Robert Anderson,,male,,,,R. Anderson,R. Anderson,Robert Anderson,Robert Anderson,,
1696,S. Leyk,,male,,,,S. Leyk,S. Leyk,S. Leyk,S. Leyk,,
1697,Ben B. Balsley,,male,,,,B. B. Balsley,B. Balsley,Ben B. Balsley,Ben Balsley,,
1698,Lakshmi Kantha,,female,,,,L. Kantha,L. Kantha,Lakshmi Kantha,Lakshmi Kantha,,
1699,James Davis,,male,,,,J. Davis,J. Davis,James Davis,James Davis,,
1700,Martin Sharp,,male,,,,M. Sharp,M. Sharp,Martin Sharp,Martin Sharp,,
1701,Wenshan Wang,,male,,,,W. Wang,W. Wang,Wenshan Wang,Wenshan Wang,,
1702,Charles S. Zender,,male,,,,C. S. Zender,C. Zender,Charles S. Zender,Charles Zender,,
1703,Matthew K. Laffin,,male,,,,M. K. Laffin,M. Laffin,Matthew K. Laffin,Matthew Laffin,,
1704,Kyle S. Mattingly,,male,,,,K. S. Mattingly,K. Mattingly,Kyle S. Mattingly,Kyle Mattingly,,
1705,Thomas L. Mote,,male,,,,T. L. Mote,T. Mote,Thomas L. Mote,Thomas Mote,,
1706,Dirk V.A.N. As,,male,,,,D. V. As,D. As,Dirk V. As,Dirk As,,
1707,Kristof V.A.N. Tricht,,male,,,,K. V. Tricht,K. Tricht,Kristof V. Tricht,Kristof Tricht,,
1708,Stef Lhermitte,,male,,,,S. Lhermitte,S. Lhermitte,Stef Lhermitte,Stef Lhermitte,,
1709,Claire Pettersen,,female,,,,C. Pettersen,C. Pettersen,Claire Pettersen,Claire Pettersen,,
1710,DIrk Van As,,male,,,,D. V. As,D. As,DIrk V. As,DIrk As,,
1711,Laurence Gray,,female,,,,L. Gray,L. Gray,Laurence Gray,Laurence Gray,,
1712,David Burgess,,male,,,,D. Burgess,D. Burgess,David Burgess,David Burgess,,
1713,Prasad Gogineni,,male,,,,P. Gogineni,P. Gogineni,Prasad Gogineni,Prasad Gogineni,,
1714,Stefan Wacker,,male,,,,S. Wacker,S. Wacker,Stefan Wacker,Stefan Wacker,,
1715,Robert Schjott Fausto,,male,,,,R. S. Fausto,R. Fausto,Robert S. Fausto,Robert Fausto,,
1716,Jeppe K. Malmros,,male,,,,J. K. Malmros,J. Malmros,Jeppe K. Malmros,Jeppe Malmros,,
1717,Jacob C. Yde,,male,,,,J. C. Yde,J. Yde,Jacob C. Yde,Jacob Yde,,
1718,Ryan Wilson,,male,,,,R. Wilson,R. Wilson,Ryan Wilson,Ryan Wilson,,
1719,Matthew J. Hoffman,,male,,,,M. J. Hoffman,M. Hoffman,Matthew J. Hoffman,Matthew Hoffman,,
1720,William H. Lipscomb,,male,,,,W. H. Lipscomb,W. Lipscomb,William H. Lipscomb,William Lipscomb,,
1721,Gudfinna Adalgeirsdóttir,,female,,,,G. Adalgeirsdóttir,G. Adalgeirsdóttir,Gudfinna Adalgeirsdóttir,Gudfinna Adalgeirsdóttir,,
1722,Philippe Lucas-Picher,,male,,,,P. Lucas-Picher,P. Lucas-Picher,Philippe Lucas-Picher,Philippe Lucas-Picher,,
1723,K. J. Brown,,male,,,,K. J. Brown,K. Brown,K. J. Brown,K. Brown,,
1724,H. Seppä,,male,,,,H. Seppä,H. Seppä,H. Seppä,H. Seppä,,
1725,G. Schoups,,male,,,,G. Schoups,G. Schoups,G. Schoups,G. Schoups,,
1726,H. J.B. Birks,,male,,,,H. J. Birks,H. Birks,H. J. Birks,H. Birks,,
1727,Penelope How,,female,,,,P. How,P. How,Penelope How,Penelope How,,
1728,Eva Mätzler,,female,,,,E. Mätzler,E. Mätzler,Eva Mätzler,Eva Mätzler,,
1729,Maurizio Santoro,,male,,,,M. Santoro,M. Santoro,Maurizio Santoro,Maurizio Santoro,,
1730,Andreas Wiesmann,,male,,,,A. Wiesmann,A. Wiesmann,Andreas Wiesmann,Andreas Wiesmann,,
1731,Rafael Caduff,,male,,,,R. Caduff,R. Caduff,Rafael Caduff,Rafael Caduff,,
1732,Mikkel Høegh Bojesen,,male,,,,M. H. Bojesen,M. Bojesen,Mikkel H. Bojesen,Mikkel Bojesen,,
1733,Andreas Kääb,,male,,,,A. Kääb,A. Kääb,Andreas Kääb,Andreas Kääb,,
1734,Jonathan L. Carrivick,,male,,,,J. L. Carrivick,J. Carrivick,Jonathan L. Carrivick,Jonathan Carrivick,,
1735,Nicholas R.J. Hulton,,male,,,,N. R. Hulton,N. Hulton,Nicholas R. Hulton,Nicholas Hulton,,
1736,Lynne Buie,,female,,,,L. Buie,L. Buie,Lynne Buie,Lynne Buie,,
1737,Kristin M. Schild,,female,,,,K. M. Schild,K. Schild,Kristin M. Schild,Kristin Schild,,
1738,Riko Noormets,,male,,,,R. Noormets,R. Noormets,Riko Noormets,Riko Noormets,,
1739,Nina Kirchner,,female,,,,N. Kirchner,N. Kirchner,Nina Kirchner,Nina Kirchner,,
1740,Dorothée Vallot,,female,,,,D. Vallot,D. Vallot,Dorothée Vallot,Dorothée Vallot,,
1741,Chris Borstad,,male,,,,C. Borstad,C. Borstad,Chris Borstad,Chris Borstad,,
1742,Sigit Adinugroho,,male,,,,S. Adinugroho,S. Adinugroho,Sigit Adinugroho,Sigit Adinugroho,,
1743,Robin Strand,,male,,,,R. Strand,R. Strand,Robin Strand,Robin Strand,,
1744,Rickard Pettersson,,male,,,,R. Pettersson,R. Pettersson,Rickard Pettersson,Rickard Pettersson,,
1745,C. E. Renshaw,,male,,,,C. E. Renshaw,C. Renshaw,C. E. Renshaw,C. Renshaw,,
1746,R. L. Hawley,,male,,,,R. L. Hawley,R. Hawley,R. L. Hawley,R. Hawley,,
1747,L. Trusel,,male,,,,L. Trusel,L. Trusel,L. Trusel,L. Trusel,,
1748,F. R. Cottier,,male,,,,F. R. Cottier,F. Cottier,F. R. Cottier,F. Cottier,,
1749,A. Pramanik,,male,,,,A. Pramanik,A. Pramanik,A. Pramanik,A. Pramanik,,
1750,N. R.J. Hulton,,male,,,,N. R. Hulton,N. Hulton,N. R. Hulton,N. Hulton,,
1751,Heïdi Sevestre,,female,,,,H. Sevestre,H. Sevestre,Heïdi Sevestre,Heïdi Sevestre,,
1752,Ward J.J.Van Pelt,,male,,,,W. J. Pelt,W. Pelt,Ward J. Pelt,Ward Pelt,,
1753,Jack Kohler,,male,,,,J. Kohler,J. Kohler,Jack Kohler,Jack Kohler,,
1754,Wim Boot,,male,,,,W. Boot,W. Boot,Wim Boot,Wim Boot,,
1755,Mike R. James,,male,,,,M. R. James,M. James,Mike R. James,Mike James,,
1756,Peter M. Wynn,,male,,,,P. M. Wynn,P. Wynn,Peter M. Wynn,Peter Wynn,,
1757,C. Ian Schipper,,male,,,,C. I. Schipper,C. Schipper,C. I. Schipper,C. Schipper,,
1758,Jonathan M. Castro,,male,,,,J. M. Castro,J. Castro,Jonathan M. Castro,Jonathan Castro,,
1759,Hugh Tuffen,,male,,,,H. Tuffen,H. Tuffen,Hugh Tuffen,Hugh Tuffen,,
1760,Michael R. Prior-Jones,,male,,,,M. R. Prior-Jones,M. Prior-Jones,Michael R. Prior-Jones,Michael Prior-Jones,,
1761,Elizabeth A. Bagshaw,,female,,,,E. A. Bagshaw,E. Bagshaw,Elizabeth A. Bagshaw,Elizabeth Bagshaw,,
1762,Jonathan Lees,,male,,,,J. Lees,J. Lees,Jonathan Lees,Jonathan Lees,,
1763,Lindsay Clare,,male,,,,L. Clare,L. Clare,Lindsay Clare,Lindsay Clare,,
1764,Stephen Burrow,,male,,,,S. Burrow,S. Burrow,Stephen Burrow,Stephen Burrow,,
1765,Mauro A. Werder,,male,,,,M. A. Werder,M. Werder,Mauro A. Werder,Mauro Werder,,
1766,Thomas R. Chudley,,male,,,,T. R. Chudley,T. Chudley,Thomas R. Chudley,Thomas Chudley,,
1767,Jemma L. Wadham,,female,,,,J. L. Wadham,J. Wadham,Jemma L. Wadham,Jemma Wadham,,
1768,J. A. Bodart,,male,,,,J. A. Bodart,J. Bodart,J. A. Bodart,J. Bodart,,
1769,R. G. Bingham,,male,,,,R. G. Bingham,R. Bingham,R. G. Bingham,R. Bingham,,
1770,D. W. Ashmore,,male,,,,D. W. Ashmore,D. Ashmore,D. W. Ashmore,D. Ashmore,,
1771,A. S. Hein,,male,,,,A. S. Hein,A. Hein,A. S. Hein,A. Hein,,
1772,D. G. Vaughan,,male,,,,D. G. Vaughan,D. Vaughan,D. G. Vaughan,D. Vaughan,,
1773,Dustin M. Schroeder,,male,,,,D. M. Schroeder,D. Schroeder,Dustin M. Schroeder,Dustin Schroeder,,
1774,Robert G. Bingham,,male,,,,R. G. Bingham,R. Bingham,Robert G. Bingham,Robert Bingham,,
1775,Donald D. Blankenship,,male,,,,D. D. Blankenship,D. Blankenship,Donald D. Blankenship,Donald Blankenship,,
1776,Knut Christianson,,male,,,,K. Christianson,K. Christianson,Knut Christianson,Knut Christianson,,
1777,Olaf Eisen,,male,,,,O. Eisen,O. Eisen,Olaf Eisen,Olaf Eisen,,
1778,Gwenn E. Flowers,,female,,,,G. E. Flowers,G. Flowers,Gwenn E. Flowers,Gwenn Flowers,,
1779,Michelle R. Koutnik,,female,,,,M. R. Koutnik,M. Koutnik,Michelle R. Koutnik,Michelle Koutnik,,
1780,Martin J. Siegert,,male,,,,M. J. Siegert,M. Siegert,Martin J. Siegert,Martin Siegert,,
1781,Seyedhamidreza Mojtabavi,,male,,,,S. Mojtabavi,S. Mojtabavi,Seyedhamidreza Mojtabavi,Seyedhamidreza Mojtabavi,,
1782,Eliza Cook,,female,,,,E. Cook,E. Cook,Eliza Cook,Eliza Cook,,
1783,Siwan M. Davies,,female,,,,S. M. Davies,S. Davies,Siwan M. Davies,Siwan Davies,,
1784,Giulia Sinnl,,female,,,,G. Sinnl,G. Sinnl,Giulia Sinnl,Giulia Sinnl,,
1785,Mathias Skov Jensen,,male,,,,M. S. Jensen,M. Jensen,Mathias S. Jensen,Mathias Jensen,,
1786,Anders Svensson,,male,,,,A. Svensson,A. Svensson,Anders Svensson,Anders Svensson,,
1787,Gwydion Jones,,male,,,,G. Jones,G. Jones,Gwydion Jones,Gwydion Jones,,
1788,Sergio Henrique Faria,,male,,,,S. H. Faria,S. Faria,Sergio H. Faria,Sergio Faria,,
1789,Vasileios Gkinis,,male,,,,V. Gkinis,V. Gkinis,Vasileios Gkinis,Vasileios Gkinis,,
1790,Helle Astrid Kjær,,female,,,,H. A. Kjær,H. Kjær,Helle A. Kjær,Helle Kjær,,
1791,Tobias Erhardt,,male,,,,T. Erhardt,T. Erhardt,Tobias Erhardt,Tobias Erhardt,,
1792,Sarah M.P. Berben,,female,,,,S. M. Berben,S. Berben,Sarah M. Berben,Sarah Berben,,
1793,Kerim H. Nisancioglu,,male,,,,K. H. Nisancioglu,K. Nisancioglu,Kerim H. Nisancioglu,Kerim Nisancioglu,,
1794,Iben Koldtoft,,female,,,,I. Koldtoft,I. Koldtoft,Iben Koldtoft,Iben Koldtoft,,
1795,Sune Olander Rasmussen,,male,,,,S. O. Rasmussen,S. Rasmussen,Sune O. Rasmussen,Sune Rasmussen,,
1796,Aslak Grinsted,,male,,,,A. Grinsted,A. Grinsted,Aslak Grinsted,Aslak Grinsted,,
1797,Jonas Kvist Andersen,,male,,,,J. K. Andersen,J. Andersen,Jonas K. Andersen,Jonas Andersen,,
1798,Niklas Neckel,,male,,,,N. Neckel,N. Neckel,Niklas Neckel,Niklas Neckel,,
1799,Helle Astrid Kjar,,female,,,,H. A. Kjar,H. Kjar,Helle A. Kjar,Helle Kjar,,
1800,Paul Vallelonga,,male,,,,P. Vallelonga,P. Vallelonga,Paul Vallelonga,Paul Vallelonga,,
1801,Sebastian Razik,,male,,,,S. Razik,S. Razik,Sebastian Razik,Sebastian Razik,,
1802,Maria Hörhold,,female,,,,M. Hörhold,M. Hörhold,Maria Hörhold,Maria Hörhold,,
1803,Anna Winter,,female,,,,A. Winter,A. Winter,Anna Winter,Anna Winter,,
1804,Daniel Steinhage,,male,,,,D. Steinhage,D. Steinhage,Daniel Steinhage,Daniel Steinhage,,
1805,Tobias Binder,,male,,,,T. Binder,T. Binder,Tobias Binder,Tobias Binder,,
1806,Donald Blankenship,,male,,,,D. Blankenship,D. Blankenship,Donald Blankenship,Donald Blankenship,,
1807,Reinhard Drews,,male,,,,R. Drews,R. Drews,Reinhard Drews,Reinhard Drews,,
1808,Graeme Eagles,,male,,,,G. Eagles,G. Eagles,Graeme Eagles,Graeme Eagles,,
1809,Fausto Ferraccioli,,male,,,,F. Ferraccioli,F. Ferraccioli,Fausto Ferraccioli,Fausto Ferraccioli,,
1810,Peter Fretwell,,male,,,,P. Fretwell,P. Fretwell,Peter Fretwell,Peter Fretwell,,
1811,Vikram Goel,,male,,,,V. Goel,V. Goel,Vikram Goel,Vikram Goel,,
1812,Jamin S. Greenbaum,,male,,,,J. S. Greenbaum,J. Greenbaum,Jamin S. Greenbaum,Jamin Greenbaum,,
1813,Hilmar Gudmundsson,,male,,,,H. Gudmundsson,H. Gudmundsson,Hilmar Gudmundsson,Hilmar Gudmundsson,,
1814,Jingxue Guo,,male,,,,J. Guo,J. Guo,Jingxue Guo,Jingxue Guo,,
1815,Coen Hofstede,,male,,,,C. Hofstede,C. Hofstede,Coen Hofstede,Coen Hofstede,,
1816,Ian Howat,,male,,,,I. Howat,I. Howat,Ian Howat,Ian Howat,,
1817,Wilfried Jokat,,male,,,,W. Jokat,W. Jokat,Wilfried Jokat,Wilfried Jokat,,
1818,Won Sang Lee,,male,,,,W. S. Lee,W. Lee,Won S. Lee,Won Lee,,
1819,Kenichi Matsuoka,,male,,,,K. Matsuoka,K. Matsuoka,Kenichi Matsuoka,Kenichi Matsuoka,,
1820,Romain Millan,,male,,,,R. Millan,R. Millan,Romain Millan,Romain Millan,,
1821,Frank Pattyn,,male,,,,F. Pattyn,F. Pattyn,Frank Pattyn,Frank Pattyn,,
1822,Jason Roberts,,male,,,,J. Roberts,J. Roberts,Jason Roberts,Jason Roberts,,
1823,Sebastian Rosier,,male,,,,S. Rosier,S. Rosier,Sebastian Rosier,Sebastian Rosier,,
1824,Antonia Ruppel,,female,,,,A. Ruppel,A. Ruppel,Antonia Ruppel,Antonia Ruppel,,
1825,Helene Seroussi,,female,,,,H. Seroussi,H. Seroussi,Helene Seroussi,Helene Seroussi,,
1826,Emma C. Smith,,female,,,,E. C. Smith,E. Smith,Emma C. Smith,Emma Smith,,
1827,Bo Sun,,male,,,,B. Sun,B. Sun,Bo Sun,Bo Sun,,
1828,Michiel R.van den Broeke,,male,,,,M. R. d. Broeke,M. Broeke,Michiel R. d. Broeke,Michiel Broeke,,
1829,Tas D.van Ommen,,male,,,,T. D. Ommen,T. Ommen,Tas D. Ommen,Tas Ommen,,
1830,Duncan A. Young,,male,,,,D. A. Young,D. Young,Duncan A. Young,Duncan Young,,
1831,Louise Steffensen Schmidt,,female,,,,L. S. Schmidt,L. Schmidt,Louise S. Schmidt,Louise Schmidt,,
1832,Christine Schott Hvidberg,,female,,,,C. S. Hvidberg,C. Hvidberg,Christine S. Hvidberg,Christine Hvidberg,,
1833,Jung Rack Kim,,male,,,,J. R. Kim,J. Kim,Jung R. Kim,Jung Kim,,
1834,Nanna Bjornholt Karlsson,,female,,,,N. B. Karlsson,N. Karlsson,Nanna B. Karlsson,Nanna Karlsson,,
1835,Johannes Sutter,,male,,,,J. Sutter,J. Sutter,Johannes Sutter,Johannes Sutter,,
1836,Hubertus Fischer,,male,,,,H. Fischer,H. Fischer,Hubertus Fischer,Hubertus Fischer,,
1837,Klaus Grosfeld,,male,,,,K. Grosfeld,K. Grosfeld,Klaus Grosfeld,Klaus Grosfeld,,
1838,Thomas Kleiner,,male,,,,T. Kleiner,T. Kleiner,Thomas Kleiner,Thomas Kleiner,,
1839,Brice Van Liefferinge,,male,,,,B. V. Liefferinge,B. Liefferinge,Brice V. Liefferinge,Brice Liefferinge,,
1840,Lai Bun Lok,,male,,,,L. B. Lok,L. Lok,Lai B. Lok,Lai Lok,,
1841,Ben Lishman,,male,,,,B. Lishman,B. Lishman,Ben Lishman,Ben Lishman,,
1842,Keith W. Nicholls,,male,,,,K. W. Nicholls,K. Nicholls,Keith W. Nicholls,Keith Nicholls,,
1843,Steve Burrow,,male,,,,S. Burrow,S. Burrow,Steve Burrow,Steve Burrow,,
1844,Hugh Corr,,male,,,,H. Corr,H. Corr,Hugh Corr,Hugh Corr,,
1845,Paul Brennan,,male,,,,P. Brennan,P. Brennan,Paul Brennan,Paul Brennan,,
1846,Andreas Läufer,,male,,,,A. Läufer,A. Läufer,Andreas Läufer,Andreas Läufer,,
1847,Marie G.P. Cavitte,,female,,,,M. G. Cavitte,M. Cavitte,Marie G. Cavitte,Marie Cavitte,,
1848,Thomas Schellenberger,,male,,,,T. Schellenberger,T. Schellenberger,Thomas Schellenberger,Thomas Schellenberger,,
1849,Miriam Jackson,,female,,,,M. Jackson,M. Jackson,Miriam Jackson,Miriam Jackson,,
1850,Thomas Zwinger,,male,,,,T. Zwinger,T. Zwinger,Thomas Zwinger,Thomas Zwinger,,
1851,Christine F. Dow,,female,,,,C. F. Dow,C. Dow,Christine F. Dow,Christine Dow,,
1852,Lisbeth T. Nielsen,,female,,,,L. T. Nielsen,L. Nielsen,Lisbeth T. Nielsen,Lisbeth Nielsen,,
1853,Christian Panton,,male,,,,C. Panton,C. Panton,Christian Panton,Christian Panton,,
1854,David M. Rippin,,male,,,,D. M. Rippin,D. Rippin,David M. Rippin,David Rippin,,
1855,Hugh F.J. Corr,,male,,,,H. F. Corr,H. Corr,Hugh F. Corr,Hugh Corr,,
1856,Tom A. Jordan,,male,,,,T. A. Jordan,T. Jordan,Tom A. Jordan,Tom Jordan,,
1857,Anne M. Le Brocq,,female,,,,A. M. L. Brocq,A. Brocq,Anne M. L. Brocq,Anne Brocq,,
1858,Kathryn C. Rose,,female,,,,K. C. Rose,K. Rose,Kathryn C. Rose,Kathryn Rose,,
1859,Neil Ross,,male,,,,N. Ross,N. Ross,Neil Ross,Neil Ross,,
1860,S. Anandakrishnan,,male,,,,S. Anandakrishnan,S. Anandakrishnan,S. Anandakrishnan,S. Anandakrishnan,,
1861,J. E.M. Christian,,male,,,,J. E. Christian,J. Christian,J. E. Christian,J. Christian,,
1862,C. Holme,,male,,,,C. Holme,C. Holme,C. Holme,C. Holme,,
1863,R. W. Jacobel,,male,,,,R. W. Jacobel,R. Jacobel,R. W. Jacobel,R. Jacobel,,
1864,M. E.L. Kristensen,,male,,,,M. E. Kristensen,M. Kristensen,M. E. Kristensen,M. Kristensen,,
1865,L. E. Peters,,male,,,,L. E. Peters,L. Peters,L. E. Peters,L. Peters,,
1866,K. L. Riverman,,female,,,,K. L. Riverman,K. Riverman,K. L. Riverman,K. Riverman,,
1867,A. M. Svensson,,male,,,,A. M. Svensson,A. Svensson,A. M. Svensson,A. Svensson,,
1868,C. Tibuleac,,male,,,,C. Tibuleac,C. Tibuleac,C. Tibuleac,C. Tibuleac,,
